 Кто, 5, 6,410256% 
  здесь, 4, 5,128205% 
 Я, 3, 3,846154% 
  бы, 2, 2,564103% 
  на, 2, 2,564103% 
  я, 2, 2,564103% 
 По, 2, 2,564103% 
  бегал, 1, 1,282051% 
  бродит, 1, 1,282051% 
  весь, 1, 1,282051% 
  взгляну, 1, 1,282051% 
  винтовкой, 1, 1,282051% 
  вот, 1, 1,282051% 
  вчера, 1, 1,282051% 
  глубокий, 1, 1,282051% 
  дальше, 1, 1,282051% 
  дорожке, 1, 1,282051% 
  елки, 1, 1,282051% 
  ж, 1, 1,282051% 
  завороженный, 1, 1,282051% 
  знал, 1, 1,282051% 
  и, 1, 1,282051% 
  изломан, 1, 1,282051% 
  катался, 1, 1,282051% 
  когти, 1, 1,282051% 
  кругу, 1, 1,282051% 
  лес, 1, 1,282051% 
  лыжи, 1, 1,282051% 
  наследил, 1, 1,282051% 
  не, 1, 1,282051% 
  ночам, 1, 1,282051% 
  охоту, 1, 1,282051% 
  падал, 1, 1,282051% 
  по, 1, 1,282051% 
  поближе, 1, 1,282051% 
  прошел, 1, 1,282051% 
  пушинкам, 1, 1,282051% 
  речам, 1, 1,282051% 
  с, 1, 1,282051% 
  серебра, 1, 1,282051% 
  след, 1, 1,282051% 
  случайно, 1, 1,282051% 
  снег, 1, 1,282051% 
  снегу, 1, 1,282051% 
  странный, 1, 1,282051% 
  твердо, 1, 1,282051% 
  узнал, 1, 1,282051% 
  украдкой, 1, 1,282051% 
  ходил, 1, 1,282051% 
  хоть, 1, 1,282051% 
  чистой, 1, 1,282051% 
  шел, 1, 1,282051% 
  этот, 1, 1,282051% 
 -за, 1, 1,282051% 
 -то, 1, 1,282051% 
 В, 1, 1,282051% 
 Заколдованным, 1, 1,282051% 
 Здесь, 1, 1,282051% 
 Из, 1, 1,282051% 
 Кабы, 1, 1,282051% 
 На, 1, 1,282051% 
 Оставляет, 1, 1,282051% 
 Подойду, 1, 1,282051% 
 Подсмотрел, 1, 1,282051% 
 Хрупкий, 1, 1,282051% 
